,Disagreement,Density
0,1.3460877319737549e-05,0.2
1,2.0327379801170318e-05,0.2
2,1.0923353932164632e-05,0.2
3,2.001134909066444e-05,0.2
4,1.832027136979392e-05,0.2
5,1.7693765251433522e-05,0.2
6,2.466902451901655e-05,0.2
7,2.4391164163075367e-05,0.2
8,2.9317118850985986e-05,0.2
9,9.276350772784585e-06,0.2
10,1.114738835019466e-05,0.2
11,1.3365655885370824e-05,0.2
12,1.8847004154066367e-05,0.2
13,2.7762240249709043e-05,0.2
14,2.9483466057898128e-05,0.2
15,1.7829034761299198e-05,0.2
16,2.2921135512786583e-05,0.2
17,9.988776816243761e-06,0.2
18,1.822315772219131e-05,0.2
19,1.1138515793624817e-05,0.2
20,1.53440082711708e-05,0.2
21,1.850967842756308e-05,0.2
22,2.2459474392769607e-05,0.2
23,1.1820710887225442e-05,0.2
24,1.4479286019677179e-05,0.2
25,2.205689530397398e-05,0.2
26,1.4186934738407378e-05,0.2
27,1.686436447411015e-05,0.2
28,2.9909203425317567e-05,0.2
29,1.75240291933595e-05,0.2
30,1.4256959793189987e-05,0.2
31,1.6468505702162907e-05,0.2
32,1.5119651148209581e-05,0.2
33,1.1064392134574398e-05,0.2
34,1.0378210556327388e-05,0.2
35,2.0900519980021527e-05,0.2
36,1.3375517892063037e-05,0.2
37,1.1599496536103104e-05,0.2
38,1.1176444094345756e-05,0.2
39,1.3688298108683289e-05,0.2
40,1.5302250881909662e-05,0.2
41,2.4965364602586582e-05,0.2
42,1.1566109705471503e-05,0.2
43,2.452060348950515e-05,0.2
44,1.2410436743476692e-05,0.2
45,1.5382124629774806e-05,0.2
46,1.5507370115690377e-05,0.2
47,2.5134457781286728e-05,0.2
48,2.3098223295958507e-05,0.2
49,1.9211988450017596e-05,0.2
50,1.5981531146327047e-05,0.2
51,2.9292606492552845e-05,0.2
52,1.5108380005149602e-05,0.2
53,3.1945570636934217e-05,0.2
54,2.8158733010033836e-05,0.2
55,1.826539099893662e-05,0.2
56,1.3981870800162291e-05,0.2
57,2.7357919527971153e-05,0.2
58,2.5002750437376596e-05,0.2
59,3.156418035113713e-05,0.2
60,2.129966858443689e-05,0.2
61,1.2228461450646653e-05,0.2
62,1.525629094662888e-05,0.2
63,1.6722996627404895e-05,0.2
64,1.878634784795158e-05,0.2
65,1.531415862055712e-05,0.2
66,1.7373207521519047e-05,0.2
67,1.441581558422451e-05,0.2
68,1.8461460721089367e-05,0.2
69,1.3286131386484074e-05,0.2
70,1.3527482518105002e-05,0.2
71,1.0153504686657197e-05,0.2
72,1.145259889352536e-05,0.2
73,2.305956934633932e-05,0.2
74,2.1529466102224427e-05,0.2
75,8.12002229441228e-06,0.2
76,2.2574962153528902e-05,0.2
77,9.7767505837254e-06,0.2
78,1.9635833778559762e-05,0.2
79,1.924093468161146e-05,0.2
80,2.0062075796182307e-05,0.2
81,1.0270234351583165e-05,0.2
82,3.3722782913338584e-05,0.2
83,2.6860461058656084e-05,0.2
84,2.3982926592685384e-05,0.2
85,1.831906500435938e-05,0.2
86,2.9929057788751734e-05,0.2
87,1.2715138056911958e-05,0.2
88,3.981965521205247e-05,0.2
89,1.912106086548147e-05,0.2
90,2.784141369221096e-05,0.2
91,2.453713330910894e-05,0.2
92,3.2230467638715886e-05,0.2
93,2.0936477126183934e-05,0.2
94,1.4369542509415196e-05,0.2
95,1.3407813508838712e-05,0.2
96,1.5021671944820614e-05,0.2
97,9.086388842217913e-06,0.2
98,1.273129885617917e-05,0.2
99,1.9933493021643056e-05,0.2
100,8.30190904296653e-06,0.3
101,7.338762115511062e-06,0.3
102,8.065855096660476e-06,0.3
103,1.2127388296464936e-05,0.3
104,8.046371975387636e-06,0.3
105,8.419189916797748e-06,0.3
106,1.0256124419069958e-05,0.3
107,6.031598489491525e-06,0.3
108,5.722038672709067e-06,0.3
109,6.766113703310862e-06,0.3
