,Diversity,Density
0,9.586734966092051e-06,0.2
1,1.4006934454765534e-05,0.2
2,7.897908315343674e-06,0.2
3,1.4236596929747432e-05,0.2
4,1.3205847578839792e-05,0.2
5,1.172137427832366e-05,0.2
6,1.7734836417056184e-05,0.2
7,1.7294438990208314e-05,0.2
8,2.2326146434756074e-05,0.2
9,6.120830784163441e-06,0.2
10,7.750999867305275e-06,0.2
11,9.345365921328489e-06,0.2
12,1.4430658148564304e-05,0.2
13,2.1362824320437294e-05,0.2
14,2.1164893841688822e-05,0.2
15,1.2158865436146784e-05,0.2
16,1.6621306096016923e-05,0.2
17,6.641892659349267e-06,0.2
18,1.3745574401054249e-05,0.2
19,7.255529093424161e-06,0.2
20,1.0351983103321654e-05,0.2
21,1.3851637075542392e-05,0.2
22,1.5397587158266227e-05,0.2
23,8.22510967554831e-06,0.2
24,9.580743514973966e-06,0.2
25,1.5059969071840757e-05,0.2
26,1.0524632328372051e-05,0.2
27,1.1808237628026122e-05,0.2
28,2.3540333490070623e-05,0.2
29,1.3223914419593719e-05,0.2
30,9.994758841366449e-06,0.2
31,1.19584433108514e-05,0.2
32,1.094466134732572e-05,0.2
33,7.662827350488331e-06,0.2
34,7.103650476338747e-06,0.2
35,1.5970445182581847e-05,0.2
36,8.947754201200986e-06,0.2
37,7.787861252628764e-06,0.2
38,7.978863607372549e-06,0.2
39,9.224800441216118e-06,0.2
40,1.0807972101117281e-05,0.2
41,1.8709695492324746e-05,0.2
42,8.158174478794625e-06,0.2
43,1.7996515202859967e-05,0.2
44,8.634396819700882e-06,0.2
45,1.0320038643653335e-05,0.2
46,1.0688142779398735e-05,0.2
47,1.9024892649526243e-05,0.2
48,1.5471021869912333e-05,0.2
49,1.436079391627859e-05,0.2
50,1.0833416791826668e-05,0.2
51,2.3432042323710656e-05,0.2
52,1.0113008072517172e-05,0.2
53,2.429712867602234e-05,0.2
54,2.0186085781079796e-05,0.2
55,1.3178374393659761e-05,0.2
56,9.0989439449183e-06,0.2
57,1.8879609438325086e-05,0.2
58,1.894460871175246e-05,0.2
59,2.349570042818909e-05,0.2
60,1.6742499099320002e-05,0.2
61,8.352185861968776e-06,0.2
62,9.904797088127833e-06,0.2
63,1.1210594642343184e-05,0.2
64,1.3711489820759726e-05,0.2
65,1.229347886414194e-05,0.2
66,1.2360002057365593e-05,0.2
67,9.635330498514635e-06,0.2
68,1.272698212897054e-05,0.2
69,9.560422728462762e-06,0.2
70,9.090310173177037e-06,0.2
71,6.680682562490538e-06,0.2
72,7.629391137130751e-06,0.2
73,1.775986282857911e-05,0.2
74,1.5981751398802823e-05,0.2
75,5.68854747365352e-06,0.2
76,1.772788170341438e-05,0.2
77,6.405535573872099e-06,0.2
78,1.3501564151028834e-05,0.2
79,1.3605894853039725e-05,0.2
80,1.435724808100559e-05,0.2
81,6.925108267445638e-06,0.2
82,2.677636076965321e-05,0.2
83,1.997291980210973e-05,0.2
84,1.7872229474099134e-05,0.2
85,1.3162989084448832e-05,0.2
86,2.170363852691354e-05,0.2
87,9.079195399290577e-06,0.2
88,2.9689906235200082e-05,0.2
89,1.4113584858160366e-05,0.2
90,2.0013593933706226e-05,0.2
91,1.9158292474938655e-05,0.2
92,2.438182072257127e-05,0.2
93,1.4545808172242966e-05,0.2
94,9.854426346173276e-06,0.2
95,9.248980926913785e-06,0.2
96,1.0527945363782837e-05,0.2
97,6.856312509658616e-06,0.2
98,8.785984023432233e-06,0.2
99,1.3819659990473756e-05,0.2
100,5.373321704874955e-06,0.3
101,4.4721394308236294e-06,0.3
102,4.9426740222021174e-06,0.3
103,7.3561884676332e-06,0.3
104,5.0547476981533605e-06,0.3
105,5.438838080685825e-06,0.3
106,6.2040239058060425e-06,0.3
107,3.947807716548056e-06,0.3
108,3.4698762372148365e-06,0.3
109,4.358719366683236e-06,0.3
110,4.61422180922682e-06,0.3
111,6.737731903459522e-06,0.3
112,7.5727126075291805e-06,0.3
113,4.764529308801948e-06,0.3
114,5.411016564134713e-06,0.3
115,4.826271792633322e-06,0.3
116,5.989417620677657e-06,0.3
117,6.902865580400799e-06,0.3
118,1.0456199006254336e-05,0.3
119,1.1168944884522976e-05,0.3
120,7.767613009045545e-06,0.3
121,5.615848950357879e-06,0.3
122,5.9984013319799755e-06,0.3
123,1.7299745024255293e-05,0.3
124,6.885497352145699e-06,0.3
125,4.622605205713585e-06,0.3
126,5.69923875108868e-06,0.3
127,3.5997112347308153e-06,0.3
128,3.7913667390063786e-06,0.3
129,5.615301359540497e-06,0.3
130,4.189487767359755e-06,0.3
131,4.168506425810479e-06,0.3
132,7.770507991955747e-06,0.3
133,6.809947961799963e-06,0.3
134,6.955839380047363e-06,0.3
135,7.120666994074077e-06,0.3
136,4.727797036895418e-06,0.3
137,7.308629938032317e-06,0.3
138,5.224555777512926e-06,0.3
139,5.027872556855046e-06,0.3
140,6.808588012368718e-06,0.3
141,4.721906338044282e-06,0.3
142,3.518961635869289e-06,0.3
143,5.985251519468101e-06,0.3
144,5.039404741383373e-06,0.3
145,6.909779074055783e-06,0.3
146,3.1914069282082255e-06,0.3
147,5.443640858295016e-06,0.3
148,5.290179600352797e-06,0.3
149,7.3691069544310135e-06,0.3
150,7.704452300796383e-06,0.3
151,3.548747417894523e-06,0.3
152,8.860692270294749e-06,0.3
153,5.010835145313515e-06,0.3
154,6.143564856162005e-06,0.3
155,5.6288382005731735e-06,0.3
156,3.4231641097951177e-06,0.3
157,9.556441787818206e-06,0.3
158,5.114483384145485e-06,0.3
159,6.752389639730161e-06,0.3
160,7.027057527117183e-06,0.3
161,9.506054581111911e-06,0.3
162,6.670180631272365e-06,0.3
163,5.779307207488267e-06,0.3
164,6.147865847997259e-06,0.3
165,4.923449395459738e-06,0.3
166,4.199587742288398e-06,0.3
167,6.974453579323995e-06,0.3
168,3.954038794055797e-06,0.3
169,8.22394397253194e-06,0.3
170,7.431169660532366e-06,0.3
171,4.563321637728929e-06,0.3
172,4.394845592662068e-06,0.3
173,5.6966487174416805e-06,0.3
174,6.140077744976847e-06,0.3
175,4.4428036169515505e-06,0.3
176,2.839672206614337e-06,0.3
177,7.334880133478438e-06,0.3
178,6.379011564241351e-06,0.3
179,6.913159458586731e-06,0.3
180,4.118735283033273e-06,0.3
181,6.678025576071185e-06,0.3
182,3.5713597671361784e-06,0.3
183,4.782601672700768e-06,0.3
184,9.682206541888867e-06,0.3
185,4.760284139346049e-06,0.3
186,8.510367851156099e-06,0.3
187,1.1850883150442818e-05,0.3
188,4.0139063263117675e-06,0.3
189,8.425416382551307e-06,0.3
190,8.09869745585272e-06,0.3
191,3.88915065709062e-06,0.3
192,5.814350350630911e-06,0.3
193,3.369620447535033e-06,0.3
194,9.304691650770551e-06,0.3
195,3.390888403131232e-06,0.3
196,5.716066691451289e-06,0.3
197,6.608261365451363e-06,0.3
198,5.124262268621597e-06,0.3
199,5.487623734473086e-06,0.3
200,3.830874091252711e-06,0.4
201,4.141139156619026e-06,0.4
202,4.692625546798012e-06,0.4
203,4.917022887014878e-06,0.4
204,2.9309674643752454e-06,0.4
205,3.044217503392755e-06,0.4
206,3.6980145788881887e-06,0.4
207,2.600081430924293e-06,0.4
208,3.4031815234326626e-06,0.4
209,3.941079595381927e-06,0.4
210,3.3872066188116194e-06,0.4
211,4.1483700201907044e-06,0.4
212,3.2159362038804786e-06,0.4
213,2.8307305506730942e-06,0.4
214,3.9850503545529205e-06,0.4
215,3.061216972537883e-06,0.4
216,3.433860885703309e-06,0.4
217,2.678281829355438e-06,0.4
218,3.307713131578555e-06,0.4
219,4.270251390137874e-06,0.4
220,3.716838228764488e-06,0.4
221,4.761369223718565e-06,0.4
222,3.2864875860228698e-06,0.4
223,3.1280589268802435e-06,0.4
224,3.919921857954553e-06,0.4
225,3.6742431768651622e-06,0.4
226,3.6427210948695864e-06,0.4
227,4.715692095498769e-06,0.4
228,5.12506369137351e-06,0.4
229,3.8896051584485195e-06,0.4
230,5.607557825785899e-06,0.4
231,2.484726062360895e-06,0.4
232,2.82367665200428e-06,0.4
233,4.556068917636636e-06,0.4
234,3.979662264527113e-06,0.4
235,2.308813116314391e-06,0.4
236,3.5899013266859117e-06,0.4
237,7.019100028989541e-06,0.4
238,1.9508222650588504e-06,0.4
239,4.2862175602523505e-06,0.4
240,2.4522002608685595e-06,0.4
241,3.1216983491524896e-06,0.4
242,2.9910651388942135e-06,0.4
243,2.6471077916025174e-06,0.4
244,2.7804244762370904e-06,0.4
245,4.21973644445821e-06,0.4
246,4.684045040632367e-06,0.4
247,3.5256874273690694e-06,0.4
248,3.4736998237822135e-06,0.4
249,2.1342054012631514e-06,0.4
250,3.9390550348294785e-06,0.4
251,3.5398773075752588e-06,0.4
252,5.141225240075031e-06,0.4
253,2.224366960414746e-06,0.4
254,3.0673274966711716e-06,0.4
255,6.283345711121147e-06,0.4
256,3.264262421674938e-06,0.4
257,3.957133936948915e-06,0.4
258,3.290314150248479e-06,0.4
259,4.276148942013487e-06,0.4
260,5.266206898722313e-06,0.4
261,2.285605928022575e-06,0.4
262,4.916520371157416e-06,0.4
263,2.5971007664803965e-06,0.4
264,3.96990524219486e-06,0.4
265,3.3743826017352476e-06,0.4
266,4.002095204035879e-06,0.4
267,4.439681729887374e-06,0.4
268,3.3169271157650607e-06,0.4
269,2.173666755924756e-06,0.4
270,3.7956857069161406e-06,0.4
271,3.421315911070645e-06,0.4
272,4.53581305441139e-06,0.4
273,3.325337962953553e-06,0.4
274,4.871789058120185e-06,0.4
275,3.5902190790094396e-06,0.4
276,3.358526862441626e-06,0.4
277,2.4380051432068936e-06,0.4
278,3.633605798408224e-06,0.4
279,4.506546384194204e-06,0.4
280,3.5900570162118735e-06,0.4
281,2.198699847695967e-06,0.4
282,2.808110804708531e-06,0.4
283,3.9522865619059484e-06,0.4
284,3.816848048872498e-06,0.4
285,3.038344642677625e-06,0.4
286,5.041329672488323e-06,0.4
