,Diversity,Density
0,2.3896937710645246e-05,0.2
1,4.1011503966743206e-05,0.2
2,1.7980975933839697e-05,0.2
3,1.0243034411686643e-05,0.2
4,1.5091352088815355e-05,0.2
5,1.2944374372292725e-05,0.2
6,1.961214352638874e-05,0.2
7,2.031623008123299e-05,0.2
8,2.196579973847677e-05,0.2
9,1.3469763169631953e-05,0.2
10,2.8209342594856503e-05,0.2
11,2.7038396255159837e-05,0.2
12,1.7072241857332317e-05,0.2
13,3.9018494071077194e-05,0.2
14,1.9951919328068217e-05,0.2
15,1.0731586521173381e-05,0.2
16,1.610367668629754e-05,0.2
17,9.413486423828843e-06,0.2
18,2.1006279529228633e-05,0.2
19,1.591095163586702e-05,0.2
20,1.7249832960119106e-05,0.2
21,2.769979902221336e-05,0.2
22,1.716544503214519e-05,0.2
23,1.48757304741523e-05,0.2
24,1.7122772689449703e-05,0.2
25,1.670628254319621e-05,0.2
26,1.268074662681118e-05,0.2
27,3.111124568801695e-05,0.2
28,9.762450408696431e-06,0.2
29,1.0667571325947304e-05,0.2
30,1.0699062888120352e-05,0.2
31,1.5039183222330972e-05,0.2
32,1.7762222563620806e-05,0.2
33,1.6382696988940714e-05,0.2
34,7.534568359448258e-06,0.2
35,1.2787445208862677e-05,0.2
36,1.3109057710502907e-05,0.2
37,7.67365732133773e-06,0.2
38,1.820907935320844e-05,0.2
39,3.4316681603700654e-05,0.2
40,1.1733354355740124e-05,0.2
41,1.698535504973528e-05,0.2
42,1.7083534517155586e-05,0.2
43,1.7197699464710342e-05,0.2
44,3.22365477297665e-05,0.2
45,2.2059408025521783e-05,0.2
46,1.1978889138131849e-05,0.2
47,1.6337400533526067e-05,0.2
48,1.6413732478720297e-05,0.2
49,1.506330123986394e-05,0.2
50,2.4573119907365263e-05,0.2
51,2.205073693607955e-05,0.2
52,3.228097923655145e-05,0.2
53,1.3814667124380173e-05,0.2
54,1.7605509840480016e-05,0.2
55,1.0510710501657496e-05,0.2
56,3.39915120530975e-05,0.2
57,2.3287330819705162e-05,0.2
58,1.9644714619954236e-05,0.2
59,1.670056455152044e-05,0.2
60,8.112470246165649e-06,0.2
61,7.463524946294356e-06,0.2
62,1.8849711868659213e-05,0.2
63,1.961252662158917e-05,0.2
64,1.2677539685459502e-05,0.2
65,1.9994536366873678e-05,0.2
66,2.2968532732829626e-05,0.2
67,1.927601980555543e-05,0.2
68,1.0703299661858777e-05,0.2
69,2.058661098656371e-05,0.2
70,6.304728720134435e-06,0.2
71,3.299230210513373e-05,0.2
72,1.818213793888602e-05,0.2
73,1.2839164344111952e-05,0.2
74,2.5364464247674784e-05,0.2
75,1.3558216685607797e-05,0.2
76,1.2864531660949695e-05,0.2
77,1.9747756255201737e-05,0.2
78,2.194407772373781e-05,0.2
79,9.045223833905414e-06,0.2
80,1.3654810769666734e-05,0.2
81,2.5576304666264822e-05,0.2
82,1.644801718153987e-05,0.2
83,2.3897285671853416e-05,0.2
84,6.067439366216311e-06,0.2
85,8.14481745035526e-06,0.2
86,1.619045120418704e-05,0.2
87,1.2177687590450951e-05,0.2
88,1.3025075329451596e-05,0.2
89,6.486489652029631e-06,0.2
90,1.2484267071262427e-05,0.2
91,1.592223078002663e-05,0.2
92,7.256985294263139e-06,0.2
93,2.3328778466406423e-05,0.2
