,Diversity,q
0,2.3343809366730144e-05,1.0
1,1.0587651767002253e-05,1.0
2,1.3987253726220137e-05,1.0
3,1.8327436499615528e-05,1.0
4,1.313963576412217e-05,1.0
5,1.3646047088818882e-05,1.0
6,1.2178673443358395e-05,1.0
7,1.2384182960481574e-05,1.0
8,9.65002658156006e-06,1.0
9,7.348979962784248e-06,1.0
10,8.882179753895277e-06,1.0
11,6.411065958373787e-06,1.0
12,1.4842880066038817e-05,1.0
13,1.676005885544252e-05,1.0
14,1.3415445549996516e-05,1.0
15,1.3564036243743293e-05,1.0
16,8.746191649686486e-06,1.0
17,1.023410601730754e-05,1.0
18,1.097303956857386e-05,1.0
19,1.0703499008487286e-05,1.0
20,1.421310853629359e-05,1.0
21,1.0641267387660258e-05,1.0
22,1.2026406735017072e-05,1.0
23,1.6998396901274493e-05,1.0
24,9.153109633424787e-06,1.0
25,1.2326225530848656e-05,1.0
26,8.741400685812207e-06,1.0
27,1.796862314840631e-05,1.0
28,1.0223475432077903e-05,1.0
29,9.391146465726537e-06,1.0
30,1.7924869679430132e-05,1.0
31,8.361113991148987e-06,1.0
32,1.0876927518051459e-05,1.0
33,7.568479031321479e-06,1.0
34,2.4252421294939968e-05,1.0
35,1.0495345103796536e-05,1.0
36,1.0606685500667226e-05,1.0
37,1.0142917527378702e-05,1.0
38,2.066707397573911e-05,1.0
39,1.8171305205283175e-05,1.0
40,1.50884418223675e-05,1.0
41,1.4418907279385758e-05,1.0
42,1.6876745371472046e-05,1.0
43,6.306973234800181e-06,1.0
44,1.449098026844982e-05,1.0
45,1.888830763817438e-05,1.0
46,9.61348067948015e-06,1.0
47,1.959760103954725e-05,1.0
48,1.718177935972745e-05,1.0
49,1.4407642305950207e-05,1.0
50,9.230214427875329e-06,1.0
51,1.2736006292387479e-05,1.0
52,1.3458338277929035e-05,1.0
53,1.3880605104983385e-05,1.0
54,5.006996248513012e-06,1.0
55,2.0162809578035284e-05,1.0
56,2.752012415784508e-05,1.0
57,1.3084026811340802e-05,1.0
58,1.5620511652116206e-05,1.0
59,1.0382513775489402e-05,1.0
60,1.7408046830429773e-05,1.0
61,1.4315127570762474e-05,1.0
62,1.0556874675032829e-05,1.0
63,8.360134308253886e-06,1.0
64,1.527621127437422e-05,1.0
65,8.073626661559831e-06,1.0
66,2.4635479150338544e-05,1.0
67,9.429486246661922e-06,1.0
68,7.240915135979779e-06,1.0
69,9.089796051698391e-06,1.0
70,2.3922766443309016e-05,1.0
71,1.5861216702046376e-05,1.0
72,1.5424857703846413e-05,1.0
73,9.872678844717272e-06,1.0
74,8.131327345086232e-06,1.0
75,9.929993929372751e-06,1.0
76,1.63752049470997e-05,1.0
77,1.6116841640101745e-05,1.0
78,1.8233219962091313e-05,1.0
79,1.709741364783817e-05,1.0
80,1.3750179143836357e-05,1.0
81,1.4470950314166476e-05,1.0
82,1.067111017340278e-05,1.0
83,1.1737204147100271e-05,1.0
84,1.6634750784985753e-05,1.0
85,1.2335747219304785e-05,1.0
86,9.51551840067404e-06,1.0
87,1.4321766715914401e-05,1.0
88,9.391370328978173e-06,1.0
89,9.571888706575844e-06,1.0
90,6.307763827215544e-06,1.0
91,8.579065470465463e-06,1.0
92,1.1234513966853072e-05,1.0
93,1.6793326468376157e-05,1.0
94,1.550294835079531e-05,1.0
95,7.101833096017394e-06,1.0
96,2.1644096512791504e-05,1.0
97,1.2775397902838976e-05,1.0
98,1.2534260070101914e-05,1.0
99,1.0898637154064025e-05,1.0
100,1.6566680694517652e-05,0.8
101,1.297321718178024e-05,0.8
102,9.263591895010607e-06,0.8
103,1.3439869499006852e-05,0.8
104,1.1190753204795415e-05,0.8
105,1.177710407829095e-05,0.8
106,1.4110515606342839e-05,0.8
107,1.2083308946454607e-05,0.8
108,9.307731527376894e-06,0.8
109,8.491241879805548e-06,0.8
110,1.696122408887284e-05,0.8
111,1.3420282682819859e-05,0.8
112,9.999469987537629e-06,0.8
113,2.4199271807096487e-05,0.8
114,1.3141086153645046e-05,0.8
115,1.6230912414302192e-05,0.8
116,1.3009897317370432e-05,0.8
117,9.62100227932943e-06,0.8
118,8.59068686089837e-06,0.8
119,1.579210498955631e-05,0.8
120,1.1293272396646877e-05,0.8
121,7.739045771709202e-06,0.8
122,1.1154560553498486e-05,0.8
123,9.695458657499312e-06,0.8
124,8.469392276511377e-06,0.8
125,8.235641343421077e-06,0.8
126,1.232349280344539e-05,0.8
127,1.3764591511108053e-05,0.8
128,1.4688570548582082e-05,0.8
129,1.3140503381629861e-05,0.8
130,7.74859484130707e-06,0.8
131,1.3581447717362234e-05,0.8
132,7.1376773010957384e-06,0.8
133,1.0895708463738097e-05,0.8
134,1.574571472623255e-05,0.8
135,5.326928484896416e-06,0.8
136,8.207266200917014e-06,0.8
137,7.109971718241121e-06,0.8
138,1.0586034439510029e-05,0.8
139,1.2167840815719957e-05,0.8
140,1.2047724572804769e-05,0.8
141,1.657364255347439e-05,0.8
142,1.7280654729953935e-05,0.8
143,1.6450130744996874e-05,0.8
144,1.2402022930134558e-05,0.8
145,9.575117500637232e-06,0.8
146,1.0815006308020796e-05,0.8
147,6.723023881076747e-06,0.8
148,1.7694647076263262e-05,0.8
149,1.0511748405458493e-05,0.8
150,1.1978210237566364e-05,0.8
151,1.8446059138376466e-05,0.8
152,1.0452176640659056e-05,0.8
153,2.005836872564692e-05,0.8
154,2.7076468807282372e-05,0.8
155,1.2826701285018984e-05,0.8
156,7.182784464345292e-06,0.8
157,1.76911311337236e-05,0.8
158,7.32485128639909e-06,0.8
159,1.3577951678189667e-05,0.8
160,7.383878477889704e-06,0.8
161,1.2459954625737855e-05,0.8
162,1.3087812506725382e-05,0.8
163,9.338957220807334e-06,0.8
164,1.042017473447098e-05,0.8
165,9.723795482153166e-06,0.8
166,1.2145522209671316e-05,0.8
167,1.7826611645520343e-05,0.8
168,1.6458140631381625e-05,0.8
169,1.0086382086976016e-05,0.8
170,1.2597208619606597e-05,0.8
171,1.2785615724543992e-05,0.8
172,1.939292335735163e-05,0.8
173,9.325942480204765e-06,0.8
174,1.9386812857198937e-05,0.8
175,1.0850455010805271e-05,0.8
176,2.2620284162433842e-05,0.8
177,1.5373335930674706e-05,0.8
178,7.76720984737766e-06,0.8
179,1.5278737495257506e-05,0.8
180,1.4380964577251717e-05,0.8
181,1.2759456215199891e-05,0.8
182,8.611501752218598e-06,0.8
183,5.355014280843335e-06,0.8
184,1.0065636563475081e-05,0.8
185,1.2091182390338486e-05,0.8
186,1.1522050561984134e-05,0.8
187,1.0023762126060993e-05,0.8
188,1.2498281126522336e-05,0.8
189,5.563805084442189e-06,0.8
190,9.121409367578386e-06,0.8
191,1.377846984245115e-05,0.8
192,8.203735015817537e-06,0.8
193,1.1001863875521934e-05,0.8
194,9.458611817886762e-06,0.8
195,1.4351521235104007e-05,0.8
196,1.6438908937557826e-05,0.8
197,1.1323677849238735e-05,0.8
198,1.2573972766354687e-05,0.8
199,8.854040319342263e-06,0.8
200,1.5052660253565572e-05,0.6
201,1.5206482308104496e-05,0.6
202,8.712684076846492e-06,0.6
203,1.6061606940213526e-05,0.6
204,2.2710166584954545e-05,0.6
205,1.8591833658574443e-05,0.6
206,1.2593120840131175e-05,0.6
207,2.2048237155857282e-05,0.6
208,1.5508370473322302e-05,0.6
209,8.284369388053315e-06,0.6
210,1.7652771821451938e-05,0.6
211,1.0785679149938059e-05,0.6
212,1.6304277681727464e-05,0.6
213,1.4975108793684041e-05,0.6
214,7.98049258983001e-06,0.6
215,1.593767313874443e-05,0.6
216,2.0048480524267995e-05,0.6
217,1.3465932946014619e-05,0.6
218,1.1915408686722082e-05,0.6
219,1.3218342704135235e-05,0.6
220,1.664463340026072e-05,0.6
221,1.5353577511108956e-05,0.6
222,1.6731048911783626e-05,0.6
223,9.147265433331692e-06,0.6
224,7.742505777384262e-06,0.6
225,7.802891314853071e-06,0.6
226,1.3917632375427609e-05,0.6
227,2.8312116700810063e-05,0.6
228,8.770720091383827e-06,0.6
229,1.6698040522294316e-05,0.6
230,1.9148400975924936e-05,0.6
231,2.118560763704651e-05,0.6
232,7.614401421219812e-06,0.6
233,2.976302876437017e-05,0.6
234,2.667946279286738e-05,0.6
235,2.560326913389381e-05,0.6
236,1.211386814571367e-05,0.6
237,2.5788672673950925e-05,0.6
238,2.87898060995512e-05,0.6
239,6.506411699794569e-06,0.6
240,1.8069954307420836e-05,0.6
241,1.2493512813432645e-05,0.6
242,1.0693760078035693e-05,0.6
243,1.8990258945052398e-05,0.6
244,1.6816685870397877e-05,0.6
245,8.250039394349134e-06,0.6
246,1.6009906329995976e-05,0.6
247,2.017038597594875e-05,0.6
248,8.112974580697937e-06,0.6
249,1.0783427697200181e-05,0.6
250,2.707397823575543e-05,0.6
251,2.5874478467475984e-05,0.6
252,1.2821087000347718e-05,0.6
253,1.1455706430720076e-05,0.6
254,2.027563631608286e-05,0.6
255,1.884243468393977e-05,0.6
256,1.4709556752474323e-05,0.6
257,1.3112327551147017e-05,0.6
258,9.89128110113374e-06,0.6
259,1.0580514551413009e-05,0.6
260,1.0095592469025253e-05,0.6
261,1.5048987650387083e-05,0.6
262,1.794663289417318e-05,0.6
263,1.9225827370766967e-05,0.6
264,1.7370431795937677e-05,0.6
265,9.018671788500522e-06,0.6
266,2.394754908028536e-05,0.6
267,8.819516853293706e-06,0.6
268,1.61876176482199e-05,0.6
269,1.0090113899128793e-05,0.6
270,1.4008668899215043e-05,0.6
271,1.2561193495345523e-05,0.6
272,1.0660489752000634e-05,0.6
273,1.851541451507475e-05,0.6
274,1.372605008448373e-05,0.6
275,1.0634321173474284e-05,0.6
276,2.446198189553406e-05,0.6
277,1.061213361755057e-05,0.6
